ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Less than basic,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Basic,2025,26.303,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Intermediate,2025,38.272,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Advanced,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-29,Education (Aggregate levels): Level not stated,2025,18.5,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-19,Education (Aggregate levels): Total,2025,15.996,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-19,Education (Aggregate levels): Less than basic,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-19,Education (Aggregate levels): Basic,2025,15.819,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-19,Education (Aggregate levels): Intermediate,2025,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Angola,LFS - Employment Survey,"Youth unemployment rate by sex, age and education (%)",Female,Age (Youth bands): 15-19,Education (Aggregate levels): Level not stated,2025,15.982,,,,Repository: ILO-STATISTICS - Micro data processing
